production_companies,revenue_avg
Constant c Productions,13100000.0
Hypnotic,218132705.0
Motion Picture THETA Produktionsgesellschaft,0.0
WV Films II,90295834.5
Impact Pictures,100560420.18181819
New Legacy,102984862.0
Nouvelles Éditions de Films (NEF),132180323.0
Andalasia Productions,0.0
Josephson Entertainment,91532968.0
Right Coast Productions,0.0
Cruella Productions,0.0
Image Entertainment,173066.0
Rat Entertainment,122279852.66666667
Waverly Films,226799021.66666666
No Such Productions,0.0
DOS,0.0
KC Medien,0.0
Little Bird,161066407.5
MP Film Management,0.0
Mandalay Pictures,38762356.85714286
Reperage,0.0
Swanford Films,0.0
IM3 Entertainment,0.0
WWE Studios,37891164.5
Oak Productions,0.0
City Light Films,15379349.0
Bel Air Entertainment,53941193.4
David Foster Productions,53247655.5
Hacienda Productions,0.0
Goldmann Pictures,107725877.0
Misha Films,0.0
Yucaipa Films,100129872.0
Marc Platt Productions,136019216.8888889
Core Productions,0.0
Horsepower Films,0.0
Munich Film Partners New Century & Company (MFP) Core Productions,0.0
DNA Films,64570262.88888889
IM Global,37960395.0
Peach Trees,0.0
Rena Film,0.0
Creepshow Films Inc.,0.0
Laurel Entertainment Inc.,14000000.0
Internationale Filmproduktion Eagle,0.0
Pit Bull Productions,0.0
Green Hat Films,257017147.66666666
Living Films,48453131.0
Manhattan Project,0.0
Zanuck/Brown Productions,470654000.0
Callahan Filmworks,230685453.0
MTV Films,66529346.9375
Mad Chance,53638752.28571428
WV Films IV,269958228.0
Ott Medien,0.0
Type A Films,124914842.0
Wild West Picture Show Productions,121989297.5
Douglas/Reuther Productions,0.0
Krane Entertainment,96249206.5
Permut Presentations,0.0
WCG Entertainment Productions,150270147.0
Hiett Designs of Las Vegas,0.0
Kouf/Bigelow Productions,0.0
Runway Pictures Inc,0.0
KMP Film Invest,52034889.0
Bona Fide Productions,45707589.5
Castel Film Romania,72436439.0
Cattleya,21001563.0
Great Oaks Entertainment,0.0
Roth-Arnold Productions,0.0
Courtside Seats Productions,0.0
Northern Lights Entertainment,164000000.0
Warner Bros. Family Entertainment,2119994.0
Earth Canada Productions,0.0
Hammerhead Productions,14828081.0
Crave Films,32817451.0
Huayi Brothers Media,70314305.33333333
Le Grisbi Productions,83393116.66666667
Caravan Pictures,30974836.5
Roger Birnbaum Productions,42508331.0
Picnic Basket,0.0
Rhythm and Hues,0.0
Warner Bros. Animation,143607938.0
Hey Eddie,145445186.5
Zookeeper Productions,0.0
Prelude Pictures,3878993.0
Saltire Entertainment,0.0
Clinica Estetico,91355009.66666667
Jonathan Krane Group,0.0
Dimension Films,72436177.16666667
Reforma Films,0.0
Art Linson Productions,37346588.666666664
Top Shelf Productions,0.0
Tig Productions,157749197.5
BBC Earth,0.0
BBC Earth MD (WWD),0.0
BBC Worldwide,0.0
Evergreen Films,0.0
Evergreen MD,0.0
Battlefield Productions,0.0
Franchise Pictures,28281031.846153848
JTP Films,0.0
Morgan Creek Productions,64625186.05
Warner Bros. Feature Animation,0.0
Artists Production Group (APG),15057250.5
Cobalt Media Group,39883442.666666664
Aperture Entertainment,266586800.0
Mars Production Pty. Ltd.,0.0
The Canton Company,24556496.5
Avalanche Productions,0.0
Canal Plus,55710973.666666664
EuropaCorp,87358349.42857143
Sofica Europacorp,0.0
Centre National de la Cinématographie (CNC),8711749.25
Conseil Général des Côtes d'Armor,0.0
Conseil Général du Morbihan,0.0
Conseil Régional du Calvados,0.0
France 2 Cinéma,20298603.727272727
France 3 Cinema,35142831.75
France Télévision,20450481.666666668
HH Sheikha Salama bint Hamdan Al Nahyan,0.0
JMH-TSR,0.0
Ministère du Développement Durable et de la Mer,0.0
Participant Media,67379228.4090909
Pathé Films,0.0
Région Basse-Normandie,0.0
Région Bretagne,0.0
TPS Star,78566604.8
ApolloMedia Distribution,18971768.333333332
Coco,0.0
Crusader Entertainment,0.0
Dante Entertainment,19924033.0
ETIC Films,41421200.666666664
Film 111,0.0
Forge,64859890.5
Jericho Productions Ltd.,0.0
MFF (Sound of Thunder),0.0
Matrix Film Finance,0.0
QI Quality International GmbH Co. KG,0.0
Scenario Lane Productions,0.0
Signature Pictures,45040434.0
Constantin Film International,0.0
Don Carmody Productions,48122566.666666664
FilmDistrict,51170968.666666664
Contrafilm,53843695.6
Sony,0.0
Casey Silver Productions,62753508.0
Mikona Productions GmbH & Co. KG,101932759.0
CityMation,0.0
NetFlix,0.0
On Entertainment,0.0
Onyx Films,1831348.0
Orange Studios,0.0
Zippcast Films,0.0
Capella International,39127698.5
KC Medien AG,10571408.0
Illumination Entertainment,713740138.75
International Production Company,44188774.666666664
JD Productions,0.0
Mediastream Dritte Film GmbH & Co. Beteiligungs KG,59133899.5
Hit & Run Productions,0.0
Genetics Productions,0.0
Springwood Productions,0.0
Bazelevs Production,51622823.166666664
Kickstart Productions,0.0
Ringerike Zweite Filmproduktion,0.0
Top Cow Productions,0.0
Hollywood Pictures,73084270.36363636
Offspring Entertainment,97815052.33333333
Zadan / Meron Productions,175372502.0
Dominion Productions,0.0
SOIXAN7E QUIN5E,0.0
See Me Louisiana,0.0
Participant Productions,89436062.0
Playtone Production,0.0
Double Feature Films,62317154.384615384
Jersey Films,86089824.5
Nina Saxon Film Design,199200000.0
Alliance Atlantis Communications,12807066.333333334
Barry Mendel Productions,244106728.0
Michael Lobell Productions,0.0
Aversano Films,0.0
Katalyst Films,121920649.0
Empire Pictures,354704.0
Hyde Park Entertainment,58356688.5
Lotus Pictures,0.0
First Knight Productions,0.0
Mark Canton Productions,122915111.0
Virgin Produced,27677521.333333332
Equity Pictures Medienfonds GmbH & Co. KG II,0.0
Hostage GmbH,0.0
Stratus Film Co.,113783.0
Syndicate Films International,0.0
Yari Film Group,24930307.4
David Kirschner Productions,8338542.5
