4614,8
24021,24
11371,1
20352,4
11517,21
214756,2
26428,6
9824,16
48988,2
9008,8
300673,8
12113,8
38778,2
72331,27
1844,6
846,1
9703,16
857,6
136797,8
3981,23
425,4
6171,8
72976,6
603,5
568,6
9021,9
82695,6
9489,23
12133,2
9342,10
41733,6
227306,6
5551,17
9350,17
9208,8
4244,9
1852,8
76493,2
345,6
196867,6
256591,6
59962,23
36648,13
1880,17
71679,5
10483,17
11412,1
6795,16
550,6
11170,6
9292,10
100241,14
257,8
9947,27
189,1
12618,6
253412,6
1427,24
818,2
16577,4
329,10
12160,0
9331,8
300168,6
9072,2
3536,8
9087,6
12177,23
12138,17
273248,0
50359,4
1271,12
693,23
14306,2
497,24
11199,10
9982,4
210577,8
2501,8
710,17
2275,8
37165,6
9837,4
10708,2
136400,21
10992,2
9654,21
2642,23
8916,4
19899,23
2119,3
9641,2
294254,5
38167,6
39514,17
9563,6
547,6
1538,8
9334,16
11128,8
75780,8
8914,17
39538,8
14836,4
8645,1
9509,8
10067,2
9384,2
9279,2
1487,27
9422,6
77174,4
4824,17
9620,17
10199,4
3512,17
137094,8
274479,6
267860,1
8078,5
7485,8
170687,4
6435,24
137106,4
6278,16
82682,8
17610,3
22954,6
16995,5
16558,23
9849,6
5820,1
16866,4
201,17
11775,23
12201,8
11015,14
9932,2
13389,8
17332,6
4958,24
786,6
9513,4
11679,8
38321,13
14411,4
8413,18
10052,6
9676,6
9664,6
2100,8
10384,17
137321,24
123553,24
11260,3
9009,8
2309,16
8285,1
210860,3
381902,16
13922,12
293660,10
190859,5
257445,3
9007,9
889,23
1370,17
4942,6
24438,2
116741,2
35791,10
72431,6
1813,8
87428,2
8840,9
10589,8
71676,13
1722,6
10022,8
11358,8
13,6
6477,4
1597,23
10530,4
1924,16
9327,9
8488,6
8273,23
109424,8
35056,2
8839,9
156022,1
7303,6
8963,8
1402,6
9315,8
8984,8
795,24
24,21
393,1
9618,10
9374,9
8584,10
2320,8
58224,2
1729,16
175574,4
8077,5
8818,6
8195,17
10586,3
116149,2
80035,2
10632,8
1792,2
13260,2
72197,4
3580,8
12123,8
9566,8
9833,8
4517,6
8202,5
16072,6
34314,1
145220,3
14623,16
42297,6
802,6
10375,17
36586,13
11321,6
70074,1
242,8
9621,6
1819,23
8536,16
8046,6
1717,8
479,17
9444,4
824,6
11456,1
261023,8
3683,6
22803,8
285923,17
1950,6
640,8
97630,8
9767,23
11631,23
32856,23
6519,10
8741,6
49520,2
1850,6
524,8
26389,1
2123,2
9907,4
9969,2
18239,24
808,4
38050,15
8367,3
9390,6
72105,9
2898,23
10312,6
109443,2
2022,23
37686,1
462,6
9919,23
187017,21
628,23
10201,2
302699,21
274167,2
224141,9
388,8
2112,8
10329,8
74465,6
13811,8
6877,2
10320,8
50646,6
8920,4
60308,6
6950,8
225574,17
13836,13
752,13
6038,10
9975,4
11451,16
12103,1
60304,27
2251,8
46529,17
231,8
300671,8
228326,4
9754,1
66,8
4421,6
2649,8
588,18
71552,2
9631,8
216282,17
306,21
928,9
205587,6
1577,5
9801,23
2116,8
9624,17
14199,10
1907,8
4599,6
22832,1
9879,8
38579,2
44603,24
11892,8
9691,17
1248,8
12220,6
72710,17
10782,8
9573,8
4959,8
10061,17
10386,4
421,6
316152,8
11615,8
241554,8
2252,1
11968,17
10047,6
38319,2
69668,8
9770,8
11212,10
10533,6
38363,8
9923,21
11863,15
18501,17
109491,24
329833,2
12634,2
47327,13
15268,17
10796,17
9548,1
18947,6
1900,8
89,10
96724,6
198184,21
9481,8
4547,8
6415,10
181283,1
9896,3
167,6
1636,9
2148,6
5176,19
260346,17
1389,23
9894,8
7504,6
8592,17
913,6
11091,6
1368,17
5393,4
9095,8
8874,23
320,1
199,17
20533,13
10684,8
1624,2
325789,8
113464,6
888,9
82675,1
4256,2
1493,21
88751,10
11130,6
9944,8
10731,8
7350,6
9869,8
4379,23
146233,8
2034,8
926,2
4248,2
64328,20
36647,5
7214,6
1537,17
9360,14
6282,2
508,6
9487,4
768,14
2636,17
10478,6
9981,23
7453,3
7737,5
232672,2
17379,6
82525,8
9759,17
9486,10
9906,4
841,10
4148,6
2207,17
9381,17
20856,16
5955,8
9899,20
9826,10
10858,6
11439,1
9457,10
12412,6
13184,1
2185,1
6639,6
38153,17
58233,17
116977,4
68734,8
5503,17
27573,5
819,8
